"word","total"
"lesson",704
"teacher",300
"teach",299
"helpful",145
"found",130
"supporting",120
"sir",105
"hope",102
"finally",98
"pretty",88
"taught",79
"friend",69
"god",69
"happy",64
"explain",60
"favorite",59
"perfect",53
"sing",53
"school",48
"cover",45
"excellent",45
"real",42
"top",40
"enjoy",39
"buddy",38
"brother",36
"mate",35
"recommend",34
"content",33
"hero",29
"advice",28
"excited",28
"series",28
"sweet",27
"wonderful",27
"bless",26
"brilliant",26
"money",24
"enjoying",23
"instructor",23
"loving",23
"guide",22
"feeling",21
"fender",21
"oasis",19
"share",19
"instructions",18
"true",18
"confidence",17
"proud",17
"level",16
"patience",16
"pay",16
"improve",15
"peace",15
"continue",14
"musical",14
"instruction",13
"star",13
"understanding",13
"cash",12
"honest",12
"inspired",12
"personal",12
"progression",12
"word",12
"don",11
"practiced",11
"prefer",11
"usual",11
"grow",10
"white",10
"green",9
"iron",9
"sun",9
"trust",9
"accurate",8
"church",8
"clean",8
"confident",8
"doubt",8
"planning",8
"suggest",8
"base",7
"count",7
"lovely",7
"manage",7
"provide",7
"remedy",7
"theory",7
"advise",6
"center",6
"deal",6
"deserve",6
"horse",6
"inspire",6
"invite",6
"professional",6
"promise",6
"save",6
"smile",6
"swear",6
"account",5
"achieve",5
"alive",5
"angel",5
"budget",5
"constant",5
"credit",5
"depth",5
"expect",5
"familiar",5
"father",5
"fellow",5
"follower",5
"frank",5
"lord",5
"nation",5
"official",5
"passion",5
"related",5
"respect",5
"rod",5
"romance",5
"rule",5
"system",5
"therapeutic",5
"title",5
"tree",5
"vote",5
"agreed",4
"clap",4
"constantly",4
"convinced",4
"cradle",4
"dance",4
"faith",4
"hail",4
"improvement",4
"leader",4
"lover",4
"passionate",4
"praise",4
"secret",4
"sincere",4
"smith",4
"truth",4
"committed",3
"crisp",3
"expert",3
"fortune",3
"generous",3
"ground",3
"guru",3
"harmony",3
"heavens",3
"liking",3
"measure",3
"mother",3
"organization",3
"president",3
"providing",3
"resources",3
"revival",3
"safe",3
"sex",3
"simplify",3
"strength",3
"structure",3
"superman",3
"thoughtful",3
"wear",3
"worship",3
"achievement",2
"assist",2
"award",2
"believer",2
"comfort",2
"compass",2
"county",2
"dawn",2
"doctor",2
"encourage",2
"experienced",2
"freedom",2
"friendly",2
"grandfather",2
"guardian",2
"guidance",2
"healing",2
"helper",2
"heroic",2
"honesty",2
"honor",2
"hug",2
"justice",2
"law",2
"majority",2
"marry",2
"nursery",2
"opera",2
"perfection",2
"reliable",2
"religion",2
"remains",2
"retain",2
"routine",2
"saint",2
"sappy",2
"shepherd",2
"steady",2
"successful",2
"team",2
"trade",2
"trainer",2
"truck",2
"truss",2
"united",2
"virgin",2
"weight",2
"wholesome",2
"accompaniment",1
"admire",1
"adore",1
"advent",1
"ally",1
"applause",1
"appreciation",1
"associate",1
"assure",1
"assured",1
"author",1
"bank",1
"banker",1
"bartender",1
"birth",1
"blessing",1
"blessings",1
"bloom",1
"butler",1
"calls",1
"chart",1
"cherish",1
"choir",1
"chuckle",1
"coach",1
"compliment",1
"confidentially",1
"consistency",1
"convincing",1
"cop",1
"crew",1
"crucial",1
"dare",1
"darling",1
"determination",1
"dubious",1
"eager",1
"educational",1
"efficient",1
"emphasize",1
"enchanted",1
"endless",1
"engaged",1
"engaging",1
"entertainment",1
"evergreen",1
"execution",1
"fairly",1
"fixed",1
"food",1
"gate",1
"generosity",1
"glorify",1
"glow",1
"goodness",1
"gospel",1
"grammar",1
"haven",1
"heavenly",1
"hermit",1
"hopeful",1
"humility",1
"inform",1
"inseparable",1
"instruct",1
"khan",1
"lace",1
"leaning",1
"machine",1
"medical",1
"memorable",1
"mentor",1
"mighty",1
"oblige",1
"obvious",1
"orchestra",1
"pawn",1
"playful",1
"playground",1
"possess",1
"powerful",1
"pray",1
"prepared",1
"proficient",1
"puppy",1
"reassure",1
"relative",1
"relevant",1
"remarkable",1
"reputable",1
"responsible",1
"savor",1
"scientist",1
"serve",1
"sheriff",1
"shopping",1
"signature",1
"straightforward",1
"supporter",1
"testimony",1
"tutelage",1
"verified",1
"winning",1
"wisdom",1
"yearning",1
